iter	RMSE
0	8836.916387
1	8461.93879
2	8093.600923
3	7739.482405
4	7391.788977
5	7070.775569
6	6761.400994
7	6458.777858
8	6170.102982
9	5909.450214
10	5646.346351
11	5411.963345
12	5185.165105
13	4966.777251
14	4753.871328
15	4556.532991
16	4356.613269
17	4169.851701
18	3995.690151
19	3824.994609
20	3659.644694
21	3502.233753
22	3352.313276
23	3213.428582
24	3077.167551
25	2950.675312
26	2827.524189
27	2715.230891
28	2605.755134
29	2499.565847
30	2397.576483
31	2301.908765
32	2215.731553
33	2128.411616
34	2046.366634
35	1967.991905
36	1893.832088
37	1827.686199
38	1761.863108
39	1702.034501
40	1643.256751
41	1592.428204
42	1539.843205
43	1491.843553
44	1445.167645
45	1399.918878
46	1360.402136
47	1321.557987
48	1284.754018
49	1252.247167
50	1221.822732
51	1195.272944
52	1167.881833
53	1141.300896
54	1116.563345
55	1092.025675
56	1071.144272
57	1053.455771
58	1035.991755
59	1019.795254
60	1004.435193
61	990.2216245
62	976.2741591
63	962.1484038
64	950.6336783
65	940.25169
66	931.1637536
67	920.4391855
68	912.6457135
69	903.7033988
70	894.8426468
71	886.6967586
72	880.0489769
73	873.0791842
74	866.9045634
75	860.7154568
76	856.7468693
77	852.8114273
78	848.2195743
79	843.7315788
80	840.7185382
81	837.8260864
82	834.8397641
83	830.7732385
84	827.3000383
85	824.2439084
86	821.2029604
87	818.7894981
88	816.8048063
89	815.349595
90	812.8159361
91	810.7503509
92	808.6714411
93	806.9823817
94	805.4633671
95	803.7078791
96	802.4647834
97	800.9102933
98	799.2412683
99	798.4028878
100	796.9186565
101	795.0893006
102	794.0098787
103	792.4592079
104	791.857266
105	791.2833685
106	790.3688696
107	789.9400889
108	789.4873593
109	788.5490685
110	788.2633525
111	787.9605876
112	787.4940889
113	787.2552699
114	786.5021168
115	785.9275177
116	785.5955129
117	784.6643298
118	784.5090379
119	784.3502807
120	783.7988436
121	783.6593158
122	782.8769622
123	782.3947225
124	782.0509024
125	781.3910502
126	780.3809649
127	779.8694751
128	779.2081417
129	778.9518748
130	778.2334808
131	777.5848014
132	777.5485269
133	777.0314132
134	776.4693075
135	776.0984156
136	775.7357585
137	774.8563103
138	774.5599834
139	773.9828345
140	773.8379216
141	772.9665691
142	771.9570501
143	771.6861973
144	771.2641575
145	771.1408925
146	770.537741
147	769.9639887
148	769.4218258
149	769.4024966
150	768.6145783
151	767.6538454
152	766.9965454
153	766.8000285
154	766.4060864
155	766.2045486
156	765.6368418
157	765.5076287
158	765.0666723
159	764.7660612
160	764.5987038
161	763.893502
162	763.5081314
163	763.3789884
164	762.6545333
165	762.3630001
166	761.9157043
167	761.8307393
168	761.3898357
169	760.8280027
170	760.3228246
171	759.9598724
172	759.8462743
173	759.2379447
174	758.5545389
175	758.0474657
176	757.6527624
177	757.4156796
178	756.8414424
179	756.2586169
180	755.8808901
181	755.3590884
182	754.8998287
183	754.4604556
184	754.3174933
185	754.2368682
186	754.0649158
187	754.0197392
188	753.740416
189	753.4067574
190	753.0410747
191	752.7141453
192	752.5200981
193	752.3530088
194	751.9623687
195	751.5890168
196	751.0646805
197	750.8101061
198	750.5553304
199	750.393405
200	749.974678
201	749.662931
202	749.1950346
203	748.9844514
204	748.7539719
205	748.3955683
206	748.0153034
207	747.8055081
208	747.6566261
209	747.3586342
210	747.0403771
211	746.8544471
212	746.5782731
213	746.4524305
214	746.0975182
215	745.9209664
216	745.6132915
217	745.3503355
218	744.9844329
219	744.7342245
220	744.6759691
221	744.6015504
222	744.5201742
223	744.4155776
224	744.3467166
225	744.0023453
226	743.7202989
227	743.5401353
228	743.226677
229	743.130851
230	742.8855392
231	742.6985693
232	742.3601268
233	742.1257658
234	741.8541271
235	741.679438
236	741.522281
237	741.4176692
238	741.2308697
239	740.9675765
240	740.7621028
241	740.5850919
242	740.3977011
243	740.1630428
244	739.9764364
245	739.8152707
246	739.5612958
247	739.3659219
248	739.146259
249	739.0182901
250	738.7949259
251	738.6117786
252	738.4621546
253	738.3245268
254	738.186271
255	738.059777
256	737.913755
257	737.7886923
258	737.6121985
259	737.3559181
260	737.196583
261	737.1011966
262	736.9558878
263	736.887652
264	736.7405668
265	736.6302134
266	736.4240355
267	736.2630352
268	736.2094812
269	735.9942205
270	735.8616378
271	735.6678378
272	735.4911057
273	735.4163081
274	735.2743996
275	735.108154
276	734.9749303
277	734.8952839
278	734.7719901
279	734.6702672
280	734.5521968
281	734.3867307
282	734.1816727
283	734.0851275
284	733.9889107
285	733.8431202
286	733.7919832
287	733.6614806
288	733.5905384
289	733.5319916
290	733.4883764
291	733.3959235
292	733.2389778
293	733.1315796
294	733.0219789
295	732.970953
296	732.8790756
297	732.7722028
298	732.6821094
299	732.4941993
300	732.3604771
301	732.3171157
302	732.2298138
303	732.1504813
304	732.0657173
305	731.9423914
306	731.8725261
307	731.8180246
308	731.5983331
309	731.4846178
310	731.3674493
311	731.2985435
312	731.183004
313	731.1209903
314	731.0108626
315	730.9472501
316	730.8950766
317	730.8316353
318	730.7890495
319	730.6739116
320	730.6173345
321	730.5500059
322	730.4761117
323	730.399171
324	730.2924171
325	730.2062882
326	730.1016434
327	730.0161008
328	729.9672265
329	729.9337307
330	729.8454872
331	729.7967683
332	729.7289936
333	729.6909471
334	729.4977263
335	729.4476117
336	729.3167011
337	729.2583226
338	729.1698635
339	729.125681
340	729.0422507
341	728.9152675
342	728.8926796
343	728.8283242
344	728.7322754
345	728.6968198
346	728.6267645
347	728.6003656
348	728.5483404
349	728.4387388
350	728.4075865
351	728.3732227
352	728.3577714
353	728.2738672
354	728.2372125
355	728.1959832
356	728.1461017
357	728.0808165
358	727.9766902
359	727.9315493
360	727.8920136
361	727.8679903
362	727.8013324
363	727.7525816
364	727.6408106
365	727.5796017
366	727.5409556
367	727.4682905
368	727.3888504
369	727.3561462
370	727.2697213
371	727.2248466
372	727.1623089
373	727.0987929
374	727.0611289
375	726.9932967
376	726.9600907
377	726.9080992
378	726.8824978
379	726.8543102
380	726.7774316
381	726.7056383
382	726.6610293
383	726.634717
384	726.5468257
385	726.4228487
386	726.3728508
387	726.3397454
388	726.2765606
389	726.2237402
390	726.1643418
391	726.1053497
392	726.0733037
393	725.989931
394	725.954974
395	725.912318
396	725.8908766
397	725.8544889
398	725.8062682
399	725.7229407
400	725.6658797
401	725.5776078
402	725.5418227
403	725.4796381
404	725.4573223
405	725.4032612
406	725.379565
407	725.3291383
408	725.2367578
409	725.2024427
410	725.1564063
411	725.1313496
412	725.0836041
413	724.9707793
414	724.9052643
415	724.8875145
416	724.8501774
417	724.7951609
418	724.7101672
419	724.6699719
420	724.6598921
421	724.6322433
422	724.5930679
423	724.57021
424	724.5226118
425	724.5060038
426	724.4795879
427	724.4496255
428	724.4251611
429	724.3662086
430	724.3498758
431	724.2874737
432	724.2388656
433	724.2205692
434	724.160553
435	724.1470099
436	724.1219447
437	724.0914849
438	724.0736022
439	724.0621762
440	724.0312542
441	724.0125634
442	723.982569
443	723.9592716
444	723.8948995
445	723.876989
446	723.849514
447	723.8035948
448	723.7080477
449	723.6820559
450	723.6322258
451	723.6204635
452	723.6008948
453	723.5845855
454	723.5708536
455	723.55099
456	723.5302188
457	723.5118272
458	723.4675123
459	723.444735
460	723.4186047
461	723.3716017
462	723.3270844
463	723.3040601
464	723.2970804
465	723.2594022
466	723.2444157
467	723.1890681
468	723.1377093
469	723.0870309
470	723.0765335
471	723.0419137
472	723.0262651
473	722.9895024
474	722.9660887
475	722.938734
476	722.9246096
477	722.9023681
478	722.8746673
479	722.8539472
480	722.8322939
481	722.8046544
482	722.7725118
483	722.7514248
484	722.7006133
485	722.665645
486	722.6404606
487	722.5892878
488	722.5781645
489	722.5443521
490	722.5194688
491	722.4788246
492	722.4495811
493	722.3846715
494	722.3589304
495	722.3186978
496	722.1956275
497	722.1681318
498	722.1350245
499	722.0940722
500	722.0594213
501	722.0343698
502	722.0099497
503	721.9703008
504	721.8641522
505	721.8455728
506	721.8319178
507	721.8238934
508	721.7994266
509	721.7596721
510	721.7272361
511	721.707362
512	721.6880022
513	721.6559891
514	721.6476642
515	721.6233271
516	721.588096
517	721.5716834
518	721.5445083
519	721.5308418
520	721.5217278
521	721.5093168
522	721.4983655
523	721.4784085
524	721.4557664
525	721.424111
526	721.3221739
527	721.2948278
528	721.2846518
529	721.2757392
530	721.2423046
531	721.1970295
532	721.1734593
533	721.156428
534	721.1402617
535	721.1298671
536	721.1188431
537	721.1096785
538	721.0102435
539	720.9769182
540	720.962042
541	720.9290615
542	720.900767
543	720.8722775
544	720.7830454
545	720.7451793
546	720.6769218
547	720.6462409
548	720.6275441
549	720.6084208
550	720.5653494
551	720.5196564
552	720.5106411
553	720.5081325
554	720.4945087
555	720.4718728
556	720.4553918
557	720.4239952
558	720.3934517
559	720.3593209
560	720.3475812
561	720.3152294
562	720.2987558
563	720.271088
564	720.2405945
565	720.2061602
566	720.2017845
567	720.1735212
568	720.1537503
569	720.1414623
570	720.0656413
571	720.0525786
572	720.0461096
573	720.016769
574	719.9893183
575	719.9649461
576	719.9554084
577	719.9368543
578	719.9169799
579	719.8820502
580	719.873293
581	719.855355
582	719.8458241
583	719.8373884
584	719.8199907
585	719.7960211
586	719.7863296
587	719.7417735
588	719.7198187
589	719.6856035
590	719.6521848
591	719.6408162
592	719.6227286
593	719.5986926
594	719.5754822
595	719.5446762
596	719.5289494
597	719.5132712
598	719.4916435
599	719.4705544
600	719.4628701
601	719.4423054
602	719.3869045
603	719.326496
604	719.3116887
605	719.2995726
606	719.2786985
607	719.2599767
608	719.2313602
609	719.2270015
610	719.2151454
611	719.1985334
612	719.1827807
613	719.1754951
614	719.1649116
615	719.1264402
616	719.1071384
617	719.0987194
618	719.0877947
619	719.0656922
620	719.0451279
621	719.0284674
622	719.0160645
623	718.9771275
624	718.9586428
625	718.9322223
626	718.917789
627	718.9099448
628	718.899906
629	718.8485273
630	718.8186149
631	718.8114044
632	718.8017838
633	718.7796331
634	718.7617579
635	718.7547409
636	718.7489484
637	718.7428281
638	718.7193039
639	718.69648
640	718.6865387
641	718.6503171
642	718.6369152
643	718.6298261
644	718.6041336
645	718.588535
646	718.5755408
647	718.5433561
648	718.5409116
649	718.5323418
650	718.5190684
651	718.5023671
652	718.4938919
653	718.4874898
654	718.4491428
655	718.440655
656	718.4271963
657	718.4207845
658	718.4144355
659	718.3962941
660	718.3583703
661	718.3343071
662	718.3248938
663	718.287799
664	718.282138
665	718.2731145
666	718.2539989
667	718.2325777
668	718.2199121
669	718.1823407
670	718.1695332
671	718.1509769
672	718.117603
673	718.1086556
674	718.0958544
675	718.0696364
676	718.0611725
677	718.0553484
678	718.0400082
679	718.029856
680	718.0249399
681	718.0097471
682	717.9932208
683	717.9640245
684	717.9601056
685	717.9413063
686	717.9367517
687	717.928682
688	717.8976471
689	717.8736806
690	717.8492525
691	717.842218
692	717.829192
693	717.82597
694	717.79594
695	717.7854194
696	717.7810009
697	717.777916
698	717.7686278
699	717.7607159
700	717.7526336
701	717.7391967
702	717.7132172
703	717.7088809
704	717.6696149
705	717.6654877
706	717.6558603
707	717.6544518
708	717.6499689
709	717.6119013
710	717.5980979
711	717.5932145
712	717.578367
713	717.5659673
714	717.5317568
715	717.5271248
716	717.5146596
717	717.5050518
718	717.5002053
719	717.4739612
720	717.4601206
721	717.4436502
722	717.4384134
723	717.4217741
724	717.4187083
725	717.4101466
726	717.4047462
727	717.3963539
728	717.3855462
729	717.3442449
730	717.3334679
731	717.32716
732	717.2974182
733	717.2799809
734	717.2555254
735	717.2490502
736	717.2467464
737	717.2413522
738	717.2355248
739	717.2285801
740	717.2250256
741	717.2138406
742	717.1925947
743	717.1729821
744	717.1566738
745	717.152947
746	717.1339158
