iter	Passed	Remaining
0	178	177963
1	185	92426
2	190	63373
3	233	58078
4	236	46985
5	238	39449
6	242	34373
7	246	30512
8	249	27505
9	256	25349
10	260	23392
11	264	21760
12	266	20237
13	269	18986
14	273	17937
15	275	16916
16	278	16079
17	280	15297
18	284	14677
19	286	14035
20	289	13502
21	292	13003
22	295	12535
23	299	12191
24	302	11809
25	304	11422
26	307	11089
27	310	10783
28	314	10534
29	317	10269
30	320	10020
31	323	9781
32	326	9557
33	331	9425
34	335	9263
35	339	9087
36	344	8971
37	349	8836
38	353	8706
39	356	8561
40	361	8453
41	364	8315
42	367	8190
43	371	8072
44	375	7964
45	380	7882
46	383	7786
47	387	7686
48	393	7645
49	398	7569
50	403	7516
51	410	7486
52	415	7419
53	419	7349
54	424	7290
55	430	7255
56	435	7209
57	443	7198
58	447	7141
59	451	7071
60	456	7031
61	460	6966
62	464	6902
63	468	6851
64	473	6809
65	477	6757
66	480	6697
67	485	6653
68	489	6608
69	493	6552
70	496	6497
71	500	6454
72	504	6404
73	507	6352
74	510	6298
75	514	6254
76	517	6200
77	520	6154
78	523	6106
79	527	6064
80	529	6005
81	534	5978
82	537	5937
83	540	5896
84	543	5855
85	548	5826
86	552	5799
87	556	5765
88	560	5732
89	562	5687
90	566	5655
91	569	5620
92	572	5583
93	575	5545
94	581	5541
95	584	5508
96	587	5473
97	590	5437
98	595	5420
99	599	5392
100	602	5363
101	605	5331
102	609	5307
103	613	5281
104	616	5252
105	619	5223
106	622	5193
107	625	5168
108	628	5140
109	631	5112
110	633	5073
111	636	5045
112	639	5021
113	641	4987
114	644	4963
115	648	4938
116	650	4912
117	654	4889
118	657	4864
119	658	4828
120	661	4805
121	663	4777
122	666	4753
123	670	4739
124	674	4718
125	677	4702
126	680	4681
127	683	4659
128	688	4645
129	691	4624
130	694	4604
131	696	4582
132	697	4549
133	700	4528
134	705	4520
135	708	4502
136	711	4484
137	715	4469
138	720	4460
139	722	4440
140	725	4421
141	728	4404
142	731	4385
143	735	4371
144	738	4353
145	740	4334
146	743	4313
147	745	4293
148	749	4278
149	751	4256
150	753	4238
151	756	4220
152	759	4202
153	761	4183
154	764	4170
155	767	4154
156	770	4137
157	773	4120
158	775	4103
159	778	4087
160	783	4080
161	785	4065
162	788	4048
163	790	4030
164	793	4014
165	797	4008
166	801	3997
167	805	3986
168	807	3972
169	812	3965
170	816	3956
171	819	3943
172	822	3933
173	828	3933
174	833	3928
175	836	3918
176	840	3906
177	845	3904
178	848	3893
179	852	3883
180	856	3873
181	861	3872
182	865	3862
183	869	3854
184	872	3843
185	877	3841
186	881	3831
187	884	3821
188	888	3814
189	894	3813
190	898	3805
191	902	3797
192	908	3797
193	912	3790
194	916	3783
195	922	3784
196	927	3781
197	932	3775
198	936	3768
199	942	3768
200	947	3767
201	950	3756
202	956	3756
203	960	3747
204	964	3739
205	967	3729
206	971	3722
207	975	3713
208	978	3703
209	981	3691
210	984	3683
211	988	3674
212	991	3662
213	994	3651
214	997	3640
215	1000	3632
216	1004	3623
217	1007	3615
218	1011	3607
219	1016	3603
220	1020	3596
221	1022	3584
222	1025	3573
223	1028	3563
224	1032	3557
225	1036	3549
226	1039	3541
227	1043	3531
228	1048	3528
229	1051	3520
230	1054	3510
231	1057	3501
232	1060	3492
233	1065	3487
234	1069	3480
235	1072	3471
236	1075	3462
237	1080	3458
238	1084	3451
239	1087	3444
240	1091	3436
241	1097	3436
242	1101	3431
243	1105	3424
244	1109	3419
245	1114	3414
246	1117	3407
247	1122	3402
248	1127	3400
249	1132	3398
250	1136	3391
251	1142	3389
252	1145	3382
253	1149	3374
254	1152	3367
255	1157	3363
256	1161	3357
257	1164	3350
258	1168	3342
259	1172	3336
260	1176	3331
261	1180	3325
262	1183	3317
263	1189	3315
264	1193	3310
265	1197	3303
266	1200	3295
267	1205	3291
268	1208	3283
269	1212	3277
270	1215	3270
271	1220	3266
272	1224	3260
273	1227	3253
274	1230	3244
275	1235	3240
276	1238	3233
277	1241	3225
278	1245	3217
279	1249	3212
280	1252	3204
281	1256	3198
282	1259	3190
283	1262	3183
284	1266	3178
285	1270	3170
286	1273	3163
287	1276	3155
288	1280	3150
289	1284	3143
290	1287	3136
291	1290	3128
292	1293	3120
293	1297	3115
294	1300	3108
295	1303	3100
296	1306	3092
297	1309	3085
298	1314	3081
299	1317	3074
300	1320	3067
301	1323	3059
302	1327	3054
303	1331	3048
304	1334	3041
305	1338	3034
306	1341	3027
307	1346	3026
308	1350	3019
309	1354	3013
310	1360	3014
311	1364	3008
312	1369	3005
313	1377	3010
314	1383	3009
315	1391	3012
316	1400	3016
317	1408	3020
318	1413	3018
319	1419	3015
320	1429	3024
321	1435	3021
322	1444	3027
323	1448	3022
324	1457	3026
325	1465	3030
326	1472	3031
327	1478	3028
328	1485	3028
329	1492	3029
330	1496	3024
331	1502	3023
332	1506	3017
333	1510	3011
334	1513	3005
335	1519	3001
336	1522	2995
337	1527	2991
338	1531	2985
339	1535	2980
340	1538	2974
341	1542	2967
342	1547	2963
343	1550	2957
344	1554	2952
345	1558	2945
346	1562	2941
347	1567	2937
348	1571	2930
349	1574	2924
350	1580	2921
351	1584	2917
352	1588	2911
353	1592	2906
354	1598	2904
355	1604	2901
356	1607	2895
357	1612	2892
358	1616	2887
359	1621	2882
360	1625	2876
361	1629	2871
362	1633	2866
363	1638	2863
364	1642	2857
365	1645	2851
366	1650	2845
367	1653	2840
368	1657	2834
369	1661	2828
370	1665	2823
371	1670	2819
372	1673	2813
373	1676	2806
374	1680	2801
375	1685	2797
376	1689	2791
377	1692	2785
378	1696	2779
379	1700	2774
380	1706	2772
381	1710	2767
382	1714	2762
383	1718	2755
384	1721	2750
385	1724	2742
386	1727	2735
387	1731	2730
388	1734	2723
389	1736	2716
390	1739	2709
391	1743	2704
392	1746	2698
393	1751	2693
394	1754	2687
395	1758	2681
396	1762	2677
397	1767	2673
398	1771	2668
399	1776	2664
400	1780	2659
401	1785	2655
402	1788	2649
403	1793	2645
404	1796	2639
405	1799	2633
406	1803	2627
407	1807	2623
408	1815	2622
409	1819	2618
410	1826	2616
411	1829	2611
412	1833	2605
413	1837	2600
414	1841	2595
415	1845	2590
416	1848	2584
417	1852	2578
418	1856	2574
419	1860	2569
420	1864	2563
421	1867	2558
422	1872	2553
423	1875	2547
424	1878	2541
425	1881	2535
426	1884	2529
427	1889	2524
428	1892	2518
429	1896	2513
430	1902	2512
431	1908	2509
432	1912	2504
433	1917	2500
434	1921	2496
435	1925	2490
436	1929	2485
437	1935	2483
438	1939	2478
439	1942	2472
440	1944	2464
441	1946	2457
442	1949	2450
443	1953	2445
444	1956	2439
445	1959	2434
446	1964	2429
447	1967	2424
448	1971	2419
449	1974	2413
450	1978	2408
451	1982	2403
452	1986	2398
453	1989	2392
454	1994	2388
455	1997	2382
456	2000	2377
457	2004	2372
458	2008	2367
459	2012	2362
460	2016	2357
461	2019	2351
462	2023	2346
463	2027	2341
464	2031	2337
465	2035	2332
466	2038	2326
467	2041	2321
468	2045	2316
469	2049	2310
470	2052	2305
471	2056	2300
472	2059	2294
473	2062	2288
474	2065	2283
475	2068	2277
476	2072	2272
477	2076	2267
478	2078	2261
479	2081	2255
480	2086	2251
481	2089	2245
482	2154	2306
483	2159	2301
484	2162	2296
485	2164	2289
486	2167	2283
487	2171	2278
488	2174	2272
489	2178	2266
490	2182	2262
491	2185	2257
492	2189	2251
493	2192	2245
494	2195	2240
495	2200	2235
496	2203	2230
497	2207	2224
498	2210	2219
499	2214	2214
500	2219	2211
501	2223	2205
502	2227	2200
503	2230	2194
504	2233	2189
505	2237	2183
506	2239	2178
507	2243	2172
508	2247	2167
509	2250	2162
510	2254	2157
511	2259	2153
512	2264	2149
513	2267	2143
514	2271	2138
515	2274	2133
516	2279	2129
517	2282	2124
518	2286	2118
519	2290	2113
520	2294	2109
521	2298	2104
522	2301	2099
523	2305	2094
524	2310	2090
525	2314	2085
526	2318	2080
527	2322	2075
528	2326	2071
529	2332	2068
530	2335	2063
531	2340	2059
532	2344	2054
533	2347	2048
534	2352	2044
535	2356	2040
536	2359	2034
537	2363	2029
538	2366	2023
539	2369	2018
540	2374	2014
541	2378	2010
542	2382	2005
543	2386	2000
544	2474	2065
545	2481	2062
546	2487	2059
547	2491	2055
548	2515	2066
549	2528	2068
550	2535	2066
551	2541	2062
552	2545	2057
553	2550	2053
554	2555	2048
555	2559	2043
556	2564	2039
557	2570	2036
558	2574	2031
559	2582	2029
560	2587	2025
561	2591	2020
562	2596	2015
563	2601	2010
564	2605	2006
565	2609	2001
566	2613	1996
567	2619	1992
568	2622	1986
569	2626	1981
570	2631	1976
571	2634	1971
572	2637	1965
573	2641	1960
574	2645	1955
575	2648	1949
576	2651	1943
577	2654	1938
